session_id;participant_id;timestamp_utc;player_turn;event_type;attacker_id;object_id;time_start_ms;time_end_ms;value;success;notes;looking_at_card
"2";"unknown";"2026-08-31T12:30:41.2093870Z";"1";"LookedAtObject";"0";"3";0;29.2120989299887;;;;"0"
"2";"unknown";"2026-08-31T12:30:43.7300850Z";"1";"LookedAtObject";"0";"2";31.7265931901927;31.7265931901927;;;;"1"
"2";"unknown";"2026-08-31T12:30:44.4434350Z";"1";"LookedAtObject";"0";"1";31.7265931901927;32.4446095096372;;;;"1"
"2";"unknown";"2026-08-31T12:30:44.7138510Z";"1";"LookedAtObject";"0";"2";32.7062401077097;32.7062401077097;;;;"3"
"2";"unknown";"2026-08-31T12:30:45.6381370Z";"1";"LookedAtObject";"0";"3";32.7062401077097;33.6393257723923;;;;"3"
"2";"unknown";"2026-08-31T12:30:46.3244600Z";"1";"LookedAtObject";"0";"2";34.3206873015873;34.3206873015873;;;;"1"
"2";"unknown";"2026-08-31T12:30:51.1545490Z";"1";"LookedAtObject";"0";"1";34.3206873015873;39.1529916879252;;;;"1"
"2";"unknown";"2026-08-31T12:31:03.1576780Z";"1";"LookedAtObject";"0";"2";51.1549171556122;51.1549171556122;;;;"1"
"2";"unknown";"2026-08-31T12:31:03.6481500Z";"1";"LookedAtObject";"0";"1";51.1549171556122;51.6479564767574;;;;"1"
"2";"unknown";"2026-08-31T12:31:03.9156700Z";"1";"LookedAtObject";"0";"2";51.9117757227891;51.9117757227891;;;;"3"
"2";"unknown";"2026-08-31T12:31:08.7305270Z";"1";"LookedAtObject";"0";"3";51.9117757227891;56.7334327097506;;;;"3"
"2";"unknown";"2026-08-31T12:32:22.0123640Z";"1";"LookedAtObject";"0";"3";129.856162025227;130.014101523526;;;;"3"
"2";"unknown";"2026-08-31T12:32:22.1985760Z";"1";"LookedAtObject";"0";"2";130.190254924887;130.190254924887;;;;"1"
"2";"unknown";"2026-08-31T12:32:22.4485680Z";"1";"LookedAtObject";"0";"1";130.190254924887;130.448033127834;;;;"1"
"2";"unknown";"2026-08-31T12:32:22.5637210Z";"1";"LookedAtObject";"0";"2";130.559280272109;130.559280272109;;;;"1"
"2";"unknown";"2026-08-31T12:32:22.6577400Z";"1";"LookedAtObject";"0";"1";130.559280272109;130.657832057823;;;;"1"
"2";"unknown";"2026-08-31T12:32:24.7363290Z";"1";"LookedAtObject";"0";"3";131.540707971939;132.738695698696;;;;"3"
"2";"unknown";"2026-08-31T12:32:29.3226260Z";"1";"LookedAtObject";"0";"2";133.99129190051;133.99129190051;;;;"3"
"2";"unknown";"2026-08-31T12:32:29.3792590Z";"1";"LookedAtObject";"0";"3";133.99129190051;134.05650852466;;;;"3"
