session_id;participant_id;timestamp_utc;player_turn;event_type;attacker_id;object_id;time_start_ms;time_end_ms;value;success;notes;looking_at_card
"5";"unknown";"2026-08-31T12:54:53.9636360Z";"1";"LookedAtObject";"0";"3";0;13.1551738378685;;;;"0"
"5";"unknown";"2026-08-31T12:54:55.3623070Z";"1";"LookedAtObject";"0";"2";14.5101188704649;14.5101188704649;;;;"1"
"5";"unknown";"2026-08-31T12:54:55.9459930Z";"1";"LookedAtObject";"0";"1";14.5101188704649;15.1329316893424;;;;"1"
"5";"unknown";"2026-08-31T12:54:56.3746330Z";"1";"LookedAtObject";"0";"2";15.5621284509637;15.5621284509637;;;;"3"
"5";"unknown";"2026-08-31T12:54:59.8560100Z";"1";"LookedAtObject";"0";"3";15.5621284509637;19.0439183815193;;;;"3"
"5";"unknown";"2026-08-31T12:55:00.1539120Z";"1";"LookedAtObject";"0";"2";19.3369246102608;19.3369246102608;;;;"1"
"5";"unknown";"2026-08-31T12:55:01.1359730Z";"1";"LookedAtObject";"0";"1";19.3369246102608;20.3264076247166;;;;"1"
"5";"unknown";"2026-08-31T12:55:03.4022800Z";"1";"LookedAtObject";"0";"2";22.5817160785147;22.5817160785147;;;;"1"
"5";"unknown";"2026-08-31T12:55:06.7463540Z";"1";"LookedAtObject";"0";"1";22.5817160785147;25.9348476615646;;;;"1"
"5";"unknown";"2026-08-31T12:55:08.4701530Z";"1";"LookedAtObject";"0";"2";27.6566144982993;27.6566144982993;;;;"3"
"5";"unknown";"2026-08-31T12:55:08.8692960Z";"1";"LookedAtObject";"0";"3";27.6566144982993;28.0589030328798;;;;"3"
"5";"unknown";"2026-08-31T12:55:15.6455110Z";"1";"LookedAtObject";"0";"3";34.6412207199546;34.833032560941;;;;"3"
"5";"unknown";"2026-08-31T12:55:19.7744910Z";"1";"LookedAtObject";"0";"2";38.2793474844104;38.9617844316893;;;;"2"
"5";"unknown";"2026-08-31T12:55:19.8288670Z";"1";"LookedAtObject";"0";"2";38.9760925524376;39.0151671414399;;;;"2"
"5";"unknown";"2026-08-31T12:55:27.2363970Z";"1";"LookedAtObject";"0";"2";39.3483762896825;46.4254474135488;;;;"2"
